Date;Price
2013-10-08;556000
2013-10-09;555000
2013-10-10;551000
2013-10-11;548000
2013-10-16;545000
2013-10-17;545000
2013-10-18;558000
2013-10-21;556000
2013-10-22;554000
2013-10-23;556000
2013-10-24;552000
2013-10-25;556000
2013-10-28;550000
2013-10-29;546000
2013-10-30;543000
2013-10-30;542000
2013-10-31;542000
2013-11-01;542000
2013-11-04;543000
2013-11-06;544000
2013-11-07;548000
2013-11-08;543000
2013-11-11;539000
2013-11-12;539000
2013-11-13;538000
2013-11-14;548000
2013-11-15;544000
2013-11-18;544000
2013-11-19;542000
2013-11-20;541000
2013-11-21;540000
2013-11-22;540000
2013-11-25;540000
2013-11-26;545000
2013-11-27;545000
2013-11-28;545000
2013-11-29;550000
2013-12-02;551000
2013-12-03;546000
2013-12-04;545000
2013-12-05;552000
2013-12-06;548000
2013-12-09;546000
2013-12-10;548000
2013-12-11;558000
2013-12-12;555000
2013-12-13;547000
2013-12-16;550000
2013-12-17;550000
2013-12-18;549000
2013-12-19;548000
2013-12-20;544000
2013-12-23;546000
2013-12-24;544000
2013-12-27;544000
2013-12-30;547000
2013-12-31;544000
2014-01-02;544000
2014-01-02;550000
2014-01-03;552000
2014-01-06;555000
2014-01-07;552000
2014-01-08;551000
2014-01-09;550000
2014-01-10;550000
2014-01-13;555000
2014-01-15;550000
2014-01-16;550000
2014-01-17;550000
2014-01-20;555000
2014-01-21;555000
2014-01-22;553000
2014-01-23;552000
2014-01-24;560000
2014-01-27;565000
2014-01-28;559000
2014-01-29;558000
2014-01-30;559000
2014-02-03;552000
2014-02-04;560000
2014-02-04;558000
2014-02-05;558000
2014-02-06;557000
2014-02-07;557000
2014-02-10;561000
2014-02-11;564000
2014-02-12;567000
2014-02-13;567000
2014-02-14;570000
2014-02-17;571000
2014-02-18;571000
2014-02-19;571000
2014-02-20;569000
2014-02-21;569000
2014-02-24;569000
2014-02-25;571000
2014-02-26;571000
2014-02-27;571000
2014-02-28;571000
2014-03-03;571000
2014-03-04;573000
2014-03-05;572000
2014-03-06;568000
2014-03-07;571000
2014-03-10;565000
2014-03-11;567000
2014-03-12;567000
2014-03-13;572000
2014-03-14;572000
2014-03-17;576000
2014-03-18;570000
2014-03-19;566000
2014-03-20;560000
2014-03-21;560000
2014-03-24;562000
2014-03-25;556000
2014-03-26;556000
2014-03-27;556000
2014-03-28;554000
2014-04-01;552000
2014-04-02;551000
2014-04-03;550000
2014-04-04;550000
2014-04-07;552000
2014-04-08;552000
2014-04-10;553000
2014-04-11;555000
2014-04-14;558000
2014-04-15;558000
2014-04-16;554000
2014-04-17;554000
2014-04-21;553000
2014-04-22;552000
2014-04-23;553000
2014-04-24;554000
2014-04-25;554000
2014-04-28;555000
2014-04-29;553000
2014-04-30;553000
2014-05-02;551000
2014-05-05;557000
2014-05-06;557000
2014-05-07;557000
2014-05-08;549000
2014-05-09;550000
2014-05-12;549000
2014-05-13;550000
2014-05-14;549000
2014-05-16;549000
2014-05-19;549000
2014-05-20;546000
2014-05-21;550000
2014-05-22;551000
2014-05-23;552000
2014-05-26;552000
2014-05-28;547000
2014-05-30;547000
2014-06-02;546000
2014-06-03;547000
2014-06-04;548000
2014-06-05;548000
2014-06-06;550000
2014-06-09;550000
2014-06-10;549000
2014-06-11;550000
2014-06-12;550000
2014-06-13;553000
2014-06-16;553000
2014-06-17;553000
2014-06-18;553000
2014-06-19;559000
2014-06-20;569000
2014-06-23;569000
2014-06-24;569000
2014-06-25;570000
2014-06-26;571000
2014-06-27;572000
2014-06-30;570000
2014-07-01;571000
2014-07-02;565000
2014-07-03;566000
2014-07-04;568000
2014-07-07;564000
2014-07-08;562000
2014-07-10;561000
2014-07-11;558000
2014-07-14;559000
2014-07-15;553000
2014-07-16;551000
2014-07-17;551000
2014-07-17;551000
2014-07-18;556000
2014-07-21;554000
2014-07-22;552000
2014-07-23;549000
2014-07-24;549000
2014-07-25;548000
2014-08-04;553000
2014-08-05;551000
2014-08-06;551000
2014-08-07;557000
2014-08-08;558000
2014-08-11;557000
2014-08-12;557000
2014-08-13;555000
2014-08-14;556000
2014-08-15;556000
2014-08-18;550000
2014-08-19;551000
2014-08-20;551000
2014-08-21;551000
2014-08-22;551000
2014-08-25;551000
2014-08-26;551000
2014-08-27;551000
2014-08-28;551000
2014-08-29;552000
2014-09-01;551000
2014-09-02;551000
2014-09-03;549000
2014-09-04;550000
2014-09-05;549000
2014-09-08;549000
2014-09-09;548000
2014-09-10;548000
2014-09-11;548000
2014-09-12;548000
2014-09-15;547000
2014-09-15;547000
2014-09-16;547000
2014-09-17;547000
2014-09-18;546000
2014-09-19;546000
2014-09-22;544000
2014-09-23;544000
2014-09-23;544000
2014-09-24;544000
2014-09-25;544000
2014-09-26;543000
2014-09-29;543000
2014-09-30;545000
2014-10-01;545000
2014-10-02;545000
2014-10-03;545000
2014-10-06;543000
2014-10-07;544000
2014-10-08;544000
2014-10-09;545000
2014-10-10;545000
2014-10-13;546000
2014-10-14;546000
2014-10-15;545000
2014-10-16;549000
2014-10-17;549000
2014-10-20;546000
2014-10-21;546000
2014-10-22;545000
2014-10-23;544000
2014-10-24;543000
2014-10-27;543000
2014-10-28;543000
2014-10-29;546000
2014-10-30;544000
2014-10-31;543000
2014-11-03;542000
2014-11-04;542000
2014-11-05;542000
2014-11-06;542000
2014-11-07;542000
2014-11-10;542000
2014-11-11;541000
2014-11-12;541000
2014-11-13;540000
2014-11-14;539000
